OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 000101,6/1/2014,59,Distributor,USD,NXH382,47,25,5,"1,963.10","9,815.50","1,001.18",,
SO - 000102,6/1/2014,33,Wholesale,USD,GUT930,36,24,5,"3,939.60","19,698.00","3,348.66",,
SO - 000103,6/1/2014,8,Export,USD,GUT930,39,14,10,"1,775.50","17,755.00",781.22,,
SO - 000104,6/1/2014,76,Export,USD,AXW291,20,2,6,"2,324.90","13,949.40","1,464.69",,
SO - 000105,6/1/2014,143,Wholesale,USD,AXW291,20,13,6,"1,822.40","10,934.40","1,476.14",,
SO - 000106,6/1/2014,124,Wholesale,USD,NXH382,52,12,6,"1,038.50","6,231.00",446.56,,
SO - 000107,6/1/2014,151,Distributor,USD,AXW291,1,22,10,"1,192.60","11,926.00",536.67,,
SO - 000108,6/1/2014,20,Distributor,USD,NXH382,51,10,10,"1,815.70","18,157.00","1,525.19",,
SO - 000109,6/2/2014,121,Wholesale,USD,NXH382,54,25,7,"3,879.30","27,155.10","2,211.20",,
SO - 000110,6/2/2014,110,Wholesale,USD,NXH382,47,4,6,"1,956.40","11,738.40","1,212.97",,
SO - 000111,6/2/2014,130,Export,USD,AXW291,3,17,12,201.00,"2,412.00",124.62,,
SO - 000112,6/2/2014,144,Distributor,USD,AXW291,28,28,8,"6,277.90","50,223.20","2,762.28",,
SO - 000113,6/2/2014,130,Export,USD,NXH382,57,6,7,"1,051.90","7,363.30",641.66,,
SO - 000114,6/2/2014,27,Export,USD,NXH382,53,27,9,254.60,"2,291.40",216.41,,
SO - 000115,6/2/2014,63,Distributor,USD,AXW291,25,3,5,"3,932.90","19,664.50","3,146.32",,
SO - 000116,6/2/2014,110,Wholesale,USD,FLR025,64,29,10,"1,112.20","11,122.00",700.69,,
SO - 000117,6/2/2014,110,Wholesale,USD,NXH382,58,19,12,"1,239.50","14,874.00",904.84,,
SO - 000118,6/2/2014,156,Export,USD,AXW291,4,17,12,984.90,"11,818.80",393.96,,
SO - 000119,6/2/2014,41,Distributor,USD,FLR025,63,26,5,"5,581.10","27,905.50","4,130.01",,
SO - 000120,6/2/2014,4,Wholesale,USD,AXW291,25,17,8,"3,095.40","24,763.20","1,795.33",,
SO - 000121,6/2/2014,112,Export,USD,GUT930,35,6,8,"2,278.00","18,224.00","1,754.06",,
SO - 000122,6/3/2014,90,Export,USD,NXH382,51,26,12,991.60,"11,899.20",654.46,,
SO - 000123,6/3/2014,109,Distributor,USD,AXW291,4,2,6,"3,979.80","23,878.80","3,064.45",,
SO - 000124,6/3/2014,52,Wholesale,USD,GUT930,40,14,12,"1,969.80","23,637.60",866.71,,
SO - 000125,6/3/2014,127,Wholesale,USD,GUT930,31,25,12,268.00,"3,216.00",131.32,,
SO - 000126,6/3/2014,133,Wholesale,USD,AXW291,20,6,11,174.20,"1,916.20",95.81,,
SO - 000127,6/3/2014,116,Distributor,USD,GUT930,42,13,6,"2,988.20","17,929.20","2,510.09",,
SO - 000128,6/3/2014,20,Wholesale,USD,GUT930,43,13,11,"3,999.90","43,998.90","2,679.93",,
SO - 000129,6/3/2014,130,Distributor,USD,AXW291,18,15,10,"5,976.40","59,764.00","2,450.32",,
SO - 000130,6/3/2014,103,Wholesale,USD,AXW291,19,7,6,"2,901.10","17,406.60","2,378.90",,
SO - 000131,6/4/2014,133,Distributor,USD,NXH382,55,17,7,"6,076.90","42,538.30","2,734.61",,
SO - 000132,6/4/2014,51,Distributor,USD,NXH382,55,5,6,"5,735.20","34,411.20","4,186.70",,
SO - 000133,6/4/2014,175,Export,USD,GUT930,39,2,12,"3,919.50","47,034.00","2,077.34",,
SO - 000134,6/4/2014,117,Distributor,USD,FLR025,66,26,8,"6,083.60","48,668.80","3,832.67",,
SO - 000135,6/4/2014,42,Wholesale,USD,FLR025,61,3,5,"2,566.10","12,830.50","1,642.30",,
SO - 000136,6/4/2014,166,Wholesale,USD,AXW291,15,19,10,"2,278.00","22,780.00","1,093.44",,
SO - 000137,6/4/2014,173,Wholesale,USD,GUT930,46,26,7,261.30,"1,829.10",120.20,,
SO - 000138,6/4/2014,11,Wholesale,USD,FLR025,65,6,9,998.30,"8,984.70",698.81,,
SO - 000139,6/4/2014,39,Wholesale,USD,AXW291,17,27,6,"3,497.40","20,984.40","1,958.54",,
SO - 000140,6/4/2014,137,Wholesale,USD,GUT930,36,26,9,"1,132.30","10,190.70",486.89,,
SO - 000141,6/4/2014,75,Wholesale,USD,AXW291,8,14,9,"2,405.30","21,647.70","1,587.50",,
SO - 000142,6/4/2014,33,Distributor,USD,FLR025,66,15,7,"5,701.70","39,911.90","3,249.97",,
SO - 000143,6/5/2014,134,Distributor,USD,GUT930,45,25,9,"2,452.20","22,069.80","1,446.80",,
SO - 000144,6/5/2014,115,Wholesale,USD,AXW291,2,25,7,"3,095.40","21,667.80","2,012.01",,
SO - 000145,6/5/2014,90,Export,USD,GUT930,38,13,9,"3,865.90","34,793.10","2,164.90",,
SO - 000146,6/5/2014,2,Distributor,USD,AXW291,7,5,7,"2,304.80","16,133.60","1,382.88",,
SO - 000147,6/5/2014,47,Distributor,USD,AXW291,7,11,10,"3,195.90","31,959.00","1,470.11",,
SO - 000148,6/5/2014,80,Wholesale,USD,NXH382,53,13,10,"6,452.10","64,521.00","5,161.68",,
SO - 000149,6/6/2014,78,Export,USD,AXW291,19,4,6,"2,003.30","12,019.80",921.52,,
SO - 000150,6/6/2014,91,Wholesale,USD,AXW291,4,18,5,"3,638.10","18,190.50","1,455.24",,
SO - 000151,6/6/2014,19,Export,USD,AXW291,20,3,6,"2,278.00","13,668.00","1,822.40",,
SO - 000152,6/6/2014,21,Distributor,USD,AXW291,26,5,12,924.60,"11,095.20",582.50,,
SO - 000153,6/6/2014,31,Wholesale,USD,AXW291,20,21,11,"3,926.20","43,188.20","3,062.44",,
SO - 000154,6/6/2014,70,Export,USD,FLR025,63,15,7,"3,825.70","26,779.90","2,257.16",,
SO - 000155,6/6/2014,89,Wholesale,USD,FLR025,65,4,10,"2,257.90","22,579.00","1,377.32",,
SO - 000156,6/7/2014,3,Wholesale,USD,AXW291,27,30,7,"1,112.20","7,785.40",756.30,,
SO - 000157,6/7/2014,76,Wholesale,USD,AXW291,19,14,5,"3,557.70","17,788.50","1,814.43",,
SO - 000158,6/7/2014,3,Distributor,USD,AXW291,11,1,7,"2,371.80","16,602.60","1,233.34",,
SO - 000159,6/7/2014,125,Wholesale,USD,AXW291,11,14,12,857.60,"10,291.20",686.08,,
SO - 000160,6/8/2014,86,Wholesale,USD,GUT930,43,8,11,"3,892.70","42,819.70","2,880.60",,
SO - 000161,6/8/2014,1,Distributor,USD,AXW291,28,24,8,"3,477.30","27,818.40","1,390.92",,
SO - 000162,6/8/2014,104,Distributor,USD,AXW291,28,26,6,"3,738.60","22,431.60","2,803.95",,
SO - 000163,6/8/2014,63,Wholesale,USD,NXH382,48,25,8,"1,072.00","8,576.00",589.60,,
SO - 000164,6/8/2014,121,Wholesale,USD,AXW291,22,4,12,"2,257.90","27,094.80","1,761.16",,
SO - 000165,6/8/2014,40,Distributor,USD,GUT930,42,3,5,"1,058.60","5,293.00",751.61,,
SO - 000166,6/8/2014,118,Wholesale,USD,AXW291,14,1,10,"2,492.40","24,924.00","1,296.05",,
SO - 000167,6/8/2014,20,Wholesale,USD,AXW291,13,4,6,"3,852.50","23,115.00","2,465.60",,
SO - 000168,6/9/2014,119,Wholesale,USD,GUT930,39,13,11,241.20,"2,653.20",132.66,,
SO - 000169,6/9/2014,134,Distributor,USD,AXW291,6,5,5,"1,051.90","5,259.50",494.39,,
SO - 000170,6/9/2014,146,Distributor,USD,AXW291,31,29,8,227.80,"1,822.40",107.07,,
SO - 000171,6/9/2014,101,Wholesale,USD,FLR025,60,26,9,"1,078.70","9,708.30",506.99,,
SO - 000172,6/9/2014,125,Wholesale,USD,AXW291,18,17,6,"1,005.00","6,030.00",743.70,,
SO - 000173,6/9/2014,109,Distributor,USD,NXH382,52,23,6,"2,485.70","14,914.20","1,317.42",,
SO - 000174,6/9/2014,108,Distributor,USD,AXW291,26,4,10,"2,659.90","26,599.00","2,154.52",,
SO - 000175,6/10/2014,72,Wholesale,USD,AXW291,20,6,11,"2,224.40","24,468.40","1,579.32",,
SO - 000176,6/10/2014,152,Wholesale,USD,FLR025,61,1,8,"2,472.30","19,778.40","1,260.87",,
SO - 000177,6/10/2014,71,Wholesale,USD,GUT930,42,25,7,"1,011.70","7,081.90",799.24,,
SO - 000178,6/10/2014,133,Wholesale,USD,GUT930,42,25,6,234.50,"1,407.00",128.98,,
SO - 000179,6/10/2014,131,Distributor,USD,AXW291,29,25,8,261.30,"2,090.40",143.72,,
SO - 000180,6/10/2014,147,Export,USD,AXW291,7,11,5,"4,006.60","20,033.00","2,844.69",,
SO - 000181,6/10/2014,150,Distributor,USD,GUT930,38,14,6,"1,333.30","7,999.80",866.65,,
SO - 000182,6/11/2014,109,Wholesale,USD,GUT930,46,16,5,167.50,837.50,90.45,,
SO - 000183,6/11/2014,140,Export,USD,FLR025,61,25,5,"3,195.90","15,979.50","1,821.66",,
SO - 000184,6/11/2014,3,Wholesale,USD,NXH382,56,16,10,"1,051.90","10,519.00",809.96,,
SO - 000185,6/11/2014,102,Export,USD,AXW291,2,5,9,"5,447.10","49,023.90","3,540.62",,
SO - 000186,6/11/2014,159,Wholesale,USD,GUT930,36,5,8,"3,182.50","25,460.00","1,973.15",,
SO - 000187,6/12/2014,136,Wholesale,USD,FLR025,61,13,5,891.10,"4,455.50",632.68,,
SO - 000188,6/12/2014,145,Export,USD,AXW291,29,17,7,"3,892.70","27,248.90","2,724.89",,
SO - 000189,6/12/2014,21,Export,USD,GUT930,45,12,9,"3,953.00","35,577.00","3,360.05",,
SO - 000190,6/12/2014,106,Wholesale,USD,GUT930,34,15,9,924.60,"8,321.40",545.51,,
SO - 000191,6/12/2014,5,Distributor,USD,GUT930,34,14,10,"3,430.40","34,304.00","1,989.63",,
SO - 000192,6/12/2014,57,Wholesale,USD,AXW291,31,17,8,"1,152.40","9,219.20",622.30,,
SO - 000193,6/12/2014,28,Wholesale,USD,AXW291,24,2,5,"1,085.40","5,427.00",922.59,,
SO - 000194,6/13/2014,34,Wholesale,USD,AXW291,27,16,5,"5,031.70","25,158.50","4,025.36",,
SO - 000195,6/13/2014,72,Wholesale,USD,AXW291,18,5,8,"1,092.10","8,736.80",436.84,,
SO - 000196,6/13/2014,170,Export,USD,AXW291,4,28,9,187.60,"1,688.40",144.45,,
SO - 000197,6/13/2014,13,Export,USD,AXW291,17,26,9,"3,993.20","35,938.80","2,835.17",,
SO - 000198,6/13/2014,19,Export,USD,FLR025,65,30,11,"2,472.30","27,195.30","1,433.93",,
SO - 000199,6/13/2014,166,Wholesale,USD,AXW291,5,25,11,"1,206.00","13,266.00",844.20,,
SO - 000200,6/13/2014,136,Distributor,USD,AXW291,26,13,11,"1,728.60","19,014.60",985.30,,
SO - 000201,6/13/2014,121,Wholesale,USD,AXW291,25,25,6,"1,983.20","11,899.20","1,447.74",,
SO - 000202,6/13/2014,75,Wholesale,USD,GUT930,33,30,7,"5,313.10","37,191.70","2,656.55",,
SO - 000203,6/13/2014,124,Export,USD,AXW291,11,6,11,871.00,"9,581.00",566.15,,
SO - 000204,6/14/2014,100,Wholesale,USD,GUT930,32,4,6,"2,532.60","15,195.60","2,051.41",,
SO - 000205,6/14/2014,54,Wholesale,USD,AXW291,17,21,8,"5,916.10","47,328.80","4,673.72",,
SO - 000206,6/14/2014,146,Wholesale,USD,GUT930,42,1,7,"2,887.70","20,213.90","1,443.85",,
SO - 000207,6/14/2014,170,Wholesale,USD,GUT930,36,12,7,"1,855.90","12,991.30","1,447.60",,
SO - 000208,6/14/2014,108,Distributor,USD,AXW291,11,21,6,207.70,"1,246.20",135.01,,
SO - 000209,6/14/2014,166,Wholesale,USD,FLR025,62,3,6,"1,058.60","6,351.60",772.78,,
SO - 000210,6/14/2014,142,Wholesale,USD,GUT930,44,3,10,958.10,"9,581.00",517.37,,
SO - 000211,6/14/2014,100,Wholesale,USD,GUT930,34,8,9,"2,659.90","23,939.10","1,675.74",,
SO - 000212,6/14/2014,75,Distributor,USD,AXW291,26,13,12,"2,217.70","26,612.40","1,707.63",,
SO - 000213,6/15/2014,155,Wholesale,USD,AXW291,8,16,7,"1,715.20","12,006.40",857.60,,
SO - 000214,6/15/2014,20,Wholesale,USD,NXH382,52,10,6,"3,932.90","23,597.40","1,691.15",,
SO - 000215,6/15/2014,104,Distributor,USD,AXW291,31,9,5,"2,546.00","12,730.00","1,909.50",,
SO - 000216,6/15/2014,150,Distributor,USD,NXH382,50,25,5,837.50,"4,187.50",603.00,,
SO - 000217,6/15/2014,70,Distributor,USD,GUT930,40,10,10,"1,809.00","18,090.00","1,302.48",,
SO - 000218,6/15/2014,77,Distributor,USD,NXH382,55,13,5,857.60,"4,288.00",514.56,,
SO - 000219,6/15/2014,38,Export,USD,AXW291,2,13,8,"1,748.70","13,989.60","1,101.68",,
SO - 000220,6/15/2014,68,Distributor,USD,AXW291,14,25,10,"1,266.30","12,663.00",582.50,,
SO - 000221,6/15/2014,142,Wholesale,USD,AXW291,5,13,11,"5,058.50","55,643.50","3,591.54",,
SO - 000222,6/15/2014,74,Distributor,USD,AXW291,7,23,10,958.10,"9,581.00",795.22,,
SO - 000223,6/15/2014,156,Export,USD,AXW291,22,19,11,"1,802.30","19,825.30",756.97,,
SO - 000224,6/16/2014,135,Wholesale,USD,AXW291,9,13,11,"6,298.00","69,278.00","4,534.56",,
SO - 000225,6/16/2014,126,Wholesale,USD,AXW291,1,27,6,"2,499.10","14,994.60","1,824.34",,
